eta_paziente,n,perc
0,979,76.00931677018633
1,84,6.521739130434782
2,37,2.872670807453416
3,34,2.639751552795031
4,36,2.7950310559006213
5,21,1.6304347826086956
6,18,1.3975155279503106
7,15,1.1645962732919255
8,13,1.0093167701863355
9,7,0.5434782608695652
10,7,0.5434782608695652
11,16,1.2422360248447204
12,7,0.5434782608695652
13,3,0.2329192546583851
14,6,0.4658385093167702
15,4,0.3105590062111801
16,1,0.07763975155279502
